2009-12-11 16:57:42 UTC+0000|[LIVE RESPONSE]| (System time)|
2009-02-09 12:10:48 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7c900000
-|[PE DEBUG]| ntdll.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7c900000
2008-04-14 00:08:52 UTC+0000|[PE HEADER (dll)]| comctl32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x773d0000
2008-04-13 18:33:53 UTC+0000|[PE DEBUG]| comctl32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x773d0000
2009-04-15 14:51:25 UTC+0000|[PE HEADER (dll)]| RPCRT4.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77e70000
2009-04-15 12:32:21 UTC+0000|[PE DEBUG]| RPCRT4.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77e70000
2008-04-14 00:11:02 UTC+0000|[PE HEADER (dll)]| SHLWAPI.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77f60000
-|[PE DEBUG]| SHLWAPI.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77f60000
2008-03-18 14:39:32 UTC+0000|[PE HEADER (dll)]| rsaenh.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x68000000
2008-03-18 14:39:32 UTC+0000|[PE DEBUG]| rsaenh.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x68000000
2008-04-14 00:10:15 UTC+0000|[PE HEADER (dll)]| IMM32.DLL| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x76390000
2008-04-13 19:17:51 UTC+0000|[PE DEBUG]| IMM32.DLL| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x76390000
2008-04-14 00:12:56 UTC+0000|[PE HEADER (dll)]| msvcrt.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77c10000
2008-04-13 18:30:58 UTC+0000|[PE DEBUG]| msvcrt.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77c10000
2008-06-17 19:02:17 UTC+0000|[PE HEADER (dll)]| SHELL32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7c9c0000
2008-06-17 11:41:51 UTC+0000|[PE DEBUG]| SHELL32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7c9c0000
2009-02-09 12:10:48 UTC+0000|[PE HEADER (dll)]| ADVAPI32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77dd0000
2009-02-06 11:02:08 UTC+0000|[PE DEBUG]| ADVAPI32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77dd0000
2008-04-14 00:09:44 UTC+0000|[PE HEADER (dll)]| comctl32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x5d090000
-|[PE DEBUG]| comctl32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x5d090000
2008-04-14 00:11:07 UTC+0000|[PE HEADER (dll)]| USER32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7e410000
2008-04-13 19:22:34 UTC+0000|[PE DEBUG]| USER32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7e410000
2009-03-21 14:06:58 UTC+0000|[PE HEADER (dll)]| kernel32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7c800000
2009-03-21 11:36:14 UTC+0000|[PE DEBUG]| kernel32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x7c800000
2008-10-23 12:36:14 UTC+0000|[PE HEADER (dll)]| GDI32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77f10000
2008-10-22 16:52:19 UTC+0000|[PE DEBUG]| GDI32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77f10000
2009-06-25 08:25:26 UTC+0000|[PE HEADER (dll)]| Secur32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77fe0000
2009-06-24 12:10:24 UTC+0000|[PE DEBUG]| Secur32.dll| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x77fe0000
2009-12-11 01:28:41 UTC+0000|[PROCESS]| soffice.bin| PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-11 01:28:41 UTC+0000|[PROCESS LastTrimTime]| soffice.bin| PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-09 00:40:22 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\SHELL| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:52:19 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\SHELLNOROAM\BAGS\6\SHELL| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-09 00:26:31 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\INTERNET EXPLORER\MAIN\FEATURECONTROL\FEATURE_PROTOCOL_LOCKDOWN| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-11 01:28:13 UTC+0000|[Handle (Key)]| USER| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-11 16:48:39 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\SHELLNOROAM\MUICACHE| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-11 20:00:46 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\SHELLNOROAM| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-11 20:04:38 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\SHELL| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-07 23:47:26 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:52:19 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\SHELLNOROAM\BAGS\6\SHELL| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:44:51 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER\FILEEXTS| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-11 16:48:31 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\SHELL EXTENSIONS\CACHED| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-08 15:37:46 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\SHELL EXTENSIONS\CACHED| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-11 02:02:43 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\SHELL EXTENSIONS\BLOCKED| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-09 00:30:20 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\SHELL EXTENSIONS\BLOCKED| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-11-09 00:27:04 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-11 01:28:27 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-10 17:50:00 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003_CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-07 23:52:32 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES\CLSID| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-05 02:26:02 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\COM3| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-05 02:26:02 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\COM3| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-11 01:28:13 UTC+0000|[Handle (Key)]| USER| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-05 02:26:02 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\COM3| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
2009-12-07 23:52:32 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES\CLSID| soffice.bin PID: 2132/PPID: 2092/POffset: 0x01d2b9f0
